ID;Image;Nom;test;R??ence;Categorie;Fournisseur;Prix HT;ID Taxe;Etat
1;http://pprod.koomaakiti.com/img/p/1/1-a.jpg;Sucre en morceaux St Louis - Boite de 1Kg;Sucre en morceaux pour une quantité nette de 1Kg. Utilisable pour toutes les boissons chaudes et se conserve dans un endroit sec.;e-suc-sl-1;Epicerie sucrée;Alpha;13000;65;1
2;http://pprod.koomaakiti.com/img/p/2/2-a.jpg;Sucre en morceaux St Louis - Lot de 5 boites de 1Kg;Sucre en morceaux pour une quantite nette de 1Kg. Utilisable pour toutes les boissons chaudes et se conserve dans un endroit sec.;e-suc-sl-5;Epicerie sucrée;Alpha;65000;65;1
3;http://pprod.koomaakiti.com/img/p/3/3-a.jpg;Huile de soja Oléor 1L;L'huile 0% cholestérol, est adaptée pour une cuisine quotidienne, la friture, l'assaisonnement et la pâtisserie. L’huile est obtenue après trituration de la graine de soja, l’huile brute ainsi obtenue est raffinée et conditionnée. Conserver au frais et à l’abri de la lumière.;e-hui-ol-1;Epicerie salée;Alpha;20000;65;1
4;http://pprod.koomaakiti.com/img/p/4/4-a.jpg;Huile de soja Oléor 2L;L'huile 0% cholestérol, est adaptée pour une cuisine quotidienne, la friture, l'assaisonnement et la pâtisserie. L’huile est obtenue après trituration de la graine de soja, l’huile brute ainsi obtenue est raffinée et conditionnée. Conserver au frais et à l’abri de la lumière.;e-hui-ol-2;Epicerie salée;Alpha;35000;65;1
5;http://pprod.koomaakiti.com/img/p/5/5-a.jpg;Huile de soja Oléor 5L;L'huile 0% cholestérol, est adaptée pour une cuisine quotidienne, la friture, l'assaisonnement et la pâtisserie. L’huile est obtenue après trituration de la graine de soja, l’huile brute ainsi obtenue est raffinée et conditionnée. Conserver au frais et à l’abri de la lumière.;e-hui-ol-5;Epicerie salée;Alpha;80000;65;1
6;http://pprod.koomaakiti.com/img/p/6/6-a.jpg;Huile de Soja Cristal 2L;L'huile 0% cholestérol, est adaptée pour une cuisine quotidienne, la friture, l'assaisonnement et la pâtisserie. L’huile est obtenue après trituration de la graine de soja, l’huile brute ainsi obtenue est raffinée et conditionnée. Conserver au frais et à l’abri de la lumière.;e-hui-cr-5;Epicerie salée;Alpha;35000;65;1
7;http://.pprod.koomaakiti.com/img/p/7/7-a.jpg;Huile de Soja Cristal 5L;L'huile 0% cholestérol, est adaptée pour une cuisine quotidienne, la friture, l'assaisonnement et la pâtisserie. L’huile est obtenue après trituration de la graine de soja, l’huile brute ainsi obtenue est raffinée et conditionnée. Conserver au frais et à l’abri de la lumière.;e-hui-cr-2;Epicerie salée;Alpha;80000;65;1
8;http://pprod.koomaakiti.com/img/p/8/8-a.jpg;Huile de cuisine Eden 20L;Huile alimentaire raffinée sans cholestérol. Contenance de 20L. Conserver au frais et à l’abri de la lumière.;e-hui-ed-20;Epicerie salée;Alpha;220000;65;1
9;http://pprod.koomaakiti.com/img/p/9/9-a.jpg;Huile de palme 10L;Huile végétale extraite par pression à chaud de la pulpe des fruits du palmier. Produite en Guinée. Disponible en bidon de 20L.;e-hui-pa-10;Epicerie salée;Alpha;100000;65;1
10;http://pprod.koomaakiti.com/img/p/10/10-a.jpg;Huile de palme 20L;Huile végétale extraite par pression à chaud de la pulpe des fruits du palmier. Produite en Guinée. Disponible en bidon de 10L.;e-hui-pa-20;Epicerie salée;Alpha;200000;65;1
